,hashtag,user_id,tweet_id,location
119,#covid_19,22898078,1241722977483276291,hanoi
120,#covid,102428336,1241696696582590466,hanoi
121,#covid_19,994851958841372673,1241688036275978240,hanoi
122,#stayathome,994851958841372673,1241688036275978240,hanoi
123,#covid_19,2601381283,1241661211864776706,hanoi
124,#covid_19,2601381283,1241661166662774790,hanoi
125,#vietnam,703602186023018496,1241657371610374146,hanoi
126,#covid_19,703602186023018496,1241657371610374146,hanoi
127,#topchef,1234366141272743936,1241655607695826944,hanoi
128,#covidー19,1234366141272743936,1241655607695826944,hanoi
129,#coronaviruspandemic,1234366141272743936,1241655607695826944,hanoi
130,#กษัตริย์มีไว้ทําไม,1234366141272743936,1241655607695826944,hanoi
131,#quaratinelife,1234366141272743936,1241655607695826944,hanoi
132,#انا_مع_حظر_التجول_الاجباريًٌَُِ,1234366141272743936,1241655607695826944,hanoi
133,#coronaupdatesinindia,1234366141272743936,1241655607695826944,hanoi
134,#covid19,1234366141272743936,1241655607695826944,hanoi
135,#italystaystrong,1234366141272743936,1241655607695826944,hanoi
136,#jkwmundursaja,1234366141272743936,1241655607695826944,hanoi
137,#covid_19,1234366141272743936,1241655607695826944,hanoi
138,#jkwmundursaja,1234366141272743936,1241655607695826944,hanoi
139,#covid19,69587900,1241654400835137536,hanoi
140,#coronavirus,69587900,1241654400835137536,hanoi
141,#vietnam,703602186023018496,1241650550585692161,hanoi
142,#covid_19,703602186023018496,1241650550585692161,hanoi
143,#hanoi,703602186023018496,1241646601199742981,hanoi
144,#covid_19,703602186023018496,1241646601199742981,hanoi
145,#covid,2897319109,1241641920708763648,hanoi
146,#covid_19gr,1307057012,1241633680755494912,hanoi
147,#μενουμεσπιτι,1307057012,1241633680755494912,hanoi
148,#traveladvice,22898078,1241622632098697216,hanoi
149,#travelaware,22898078,1241622632098697216,hanoi
150,#covid_19,22898078,1241622632098697216,hanoi
151,#coronavirus,22898078,1241622632098697216,hanoi
152,#covid_19,3226694466,1241617111153168384,hanoi
153,#skynews,3226694466,1241617111153168384,hanoi
154,#stayathome,3226694466,1241617111153168384,hanoi
155,#covidiot,3226694466,1241617111153168384,hanoi
156,#covid,1025672886630182912,1241615719537815553,hanoi
157,#hanoifoodculture,298374770,1241600326118944768,hanoi
158,#dotherightthing,298374770,1241600326118944768,hanoi
159,#insighthanoitravel,298374770,1241600326118944768,hanoi
160,#betbong365,1118335609062318082,1241555255323746304,hanoi
161,#covid19,877065518066221060,1241531334050414592,hanoi
162,#covid,544997111,1241405175010451456,hanoi
163,#votebts,1138789121856401408,1241384151124570117,hanoi
164,#kca,1138789121856401408,1241384151124570117,hanoi
165,#vietnam,703602186023018496,1241371184731545600,hanoi
166,#covid_19,703602186023018496,1241371184731545600,hanoi
167,#zaintsee,1238164668415275008,1241358880522694657,hanoi
168,#china,90061430,1241355435115855872,hanoi
169,#geopolitics,90061430,1241355435115855872,hanoi
170,#coronaviruspandemic,90061430,1241355435115855872,hanoi
171,#covid_19,90061430,1241355435115855872,hanoi
172,#togetherwewin,26256933,1241351664159690752,hanoi
173,#australia,477843156,1241328855698116608,hanoi
174,#australialockdown,477843156,1241328855698116608,hanoi
175,#vietnam,703602186023018496,1241327081557913608,hanoi
176,#covid_19,703602186023018496,1241327081557913608,hanoi
177,#vietnam,703602186023018496,1241323370865496066,hanoi
178,#covid_19,703602186023018496,1241323370865496066,hanoi
179,#vietnam,703602186023018496,1241321830176002050,hanoi
180,#covid_19,703602186023018496,1241321830176002050,hanoi
181,#photography,1222531216361979904,1241316341631467520,hanoi
182,#moonlightfanfic_pn,1215256833520091136,1241315123886604288,hanoi
183,#moonlightfanfic,1215256833520091136,1241315123886604288,hanoi
184,#covid_19,15436048,1241308711064186880,hanoi
185,#covid_19,1019926551109033986,1241306590155661313,hanoi
186,#vietnam,1019926551109033986,1241306590155661313,hanoi
187,#coronavirusvietnam,1019926551109033986,1241306590155661313,hanoi
188,#coronacrisis,1019926551109033986,1241306590155661313,hanoi
189,#hanoi,1019926551109033986,1241306590155661313,hanoi
190,#vietnam,994851958841372673,1241300564022939653,hanoi
191,#covid_19,994851958841372673,1241300564022939653,hanoi
192,#vietnam,703602186023018496,1241300169456377856,hanoi
193,#covid_19,703602186023018496,1241300169456377856,hanoi
194,#vietnam,703602186023018496,1241299979366305792,hanoi
195,#covid_19,703602186023018496,1241299979366305792,hanoi
196,#covid_19,1054977492665225221,1241299953227452416,hanoi
197,#covid_2019,1054977492665225221,1241299953227452416,hanoi
198,#covid,1054977492665225221,1241299953227452416,hanoi
199,#wordpress,14736998,1241299913406689281,hanoi
